Date,Stock_Market_Indexes
1/18/2018,7296.05
1/19/2018,7336.38
1/22/2018,7408.03
1/23/2018,7460.29
1/24/2018,7415.06
1/25/2018,7411.16
1/26/2018,7505.77
1/29/2018,7466.51
1/30/2018,7402.48
1/31/2018,7411.48
2/1/2018,7385.86
2/2/2018,7240.95
2/5/2018,6967.53
2/6/2018,7115.88
2/7/2018,7051.98
2/8/2018,6777.16
2/9/2018,6874.49
2/12/2018,6981.96
2/13/2018,7013.51
2/14/2018,7143.62
2/15/2018,7256.43
2/16/2018,7239.47
2/19/2018,.
2/20/2018,7234.31
2/21/2018,7218.23
2/22/2018,7210.09
2/23/2018,7337.39
2/26/2018,7421.46
2/27/2018,7330.35
2/28/2018,7273.01
3/1/2018,7180.56
3/2/2018,7257.87
3/5/2018,7330.7
3/6/2018,7372.01
3/7/2018,7396.65
3/8/2018,7427.95
3/9/2018,7560.81
3/12/2018,7588.32
3/13/2018,7511.01
3/14/2018,7496.81
3/15/2018,7481.74
3/16/2018,7481.99
3/19/2018,7344.24
3/20/2018,7364.3
3/21/2018,7345.29
3/22/2018,7166.68
3/23/2018,6992.67
3/26/2018,7220.54
3/27/2018,7008.81
3/28/2018,6949.23
3/29/2018,7063.44
3/30/2018,.
4/2/2018,6870.12
4/3/2018,6941.28
4/4/2018,7042.105
4/5/2018,7076.551
4/6/2018,6915.109
4/9/2018,6950.344
4/10/2018,7094.301
4/11/2018,7069.027
4/12/2018,7140.246
4/13/2018,7106.648
4/16/2018,7156.285
4/17/2018,7281.098
4/18/2018,7295.234
4/19/2018,7238.055
4/20/2018,7146.125
4/23/2018,7128.602
4/24/2018,7007.352
4/25/2018,7003.738
4/26/2018,7118.676
4/27/2018,7119.801
4/30/2018,7066.266
5/1/2018,7130.703
5/2/2018,7100.898
5/3/2018,7088.152
5/4/2018,7209.617
5/7/2018,7265.211
5/8/2018,7266.902
5/9/2018,7339.906
5/10/2018,7404.977
5/11/2018,7402.883
5/14/2018,7411.316
5/15/2018,7351.629
5/16/2018,7398.297
5/17/2018,7382.473
5/18/2018,7354.34
5/21/2018,7394.035
5/22/2018,7378.457
5/23/2018,7425.957
5/24/2018,7424.43
5/25/2018,7433.855
5/28/2018,.
5/29/2018,7396.594
5/30/2018,7462.453
5/31/2018,7442.117
6/1/2018,7554.332
6/4/2018,7606.461
6/5/2018,7637.863
6/6/2018,7689.242
6/7/2018,7635.07
6/8/2018,7645.512
6/11/2018,7659.926
6/12/2018,7703.793
6/13/2018,7695.699
6/14/2018,7761.043
6/15/2018,7746.379
6/18/2018,7747.023
6/19/2018,7725.586
6/20/2018,7781.516
6/21/2018,7712.953
6/22/2018,7692.816
6/25/2018,7532.008
6/26/2018,7561.625
6/27/2018,7445.086
6/28/2018,7503.684
6/29/2018,7510.305
7/2/2018,7567.688
7/3/2018,7502.672
7/4/2018,.
7/5/2018,7586.426
7/6/2018,7688.387
7/9/2018,7756.203
7/10/2018,7759.199
7/11/2018,7716.613
7/12/2018,7823.914
7/13/2018,7825.977
7/16/2018,7805.719
7/17/2018,7855.117
7/18/2018,7854.445
7/19/2018,7825.297
7/20/2018,7820.199
7/23/2018,7841.871
7/24/2018,7840.766
7/25/2018,7932.238
7/26/2018,7852.184
7/27/2018,7737.418
7/30/2018,7630.004
7/31/2018,7671.789
8/1/2018,7707.285
8/2/2018,7802.684
8/3/2018,7812.016
8/6/2018,7859.68
8/7/2018,7883.664
8/8/2018,7888.324
8/9/2018,7891.781
8/10/2018,7839.109
8/13/2018,7819.707
8/14/2018,7870.895
8/15/2018,7774.117
8/16/2018,7806.523
8/17/2018,7816.328
8/20/2018,7821.008
8/21/2018,7859.172
8/22/2018,7889.098
8/23/2018,7878.457
